# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.8806	1.0000	+0.8806	0.7754
w	4.5036	4.0000	+0.5036	0.2537
e	3.3463	3.0000	+0.3463	0.1199
r	3.1012	4.0000	-0.8988	0.8079
t	1.5730	1.5000	+0.0730	0.0053
y	2.7069	1.5000	+1.2069	1.4566
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.7559	1.0000	+0.7559	0.5714
a	1.9722	2.0000	-0.0278	0.0008
s	5.0442	5.0000	+0.0442	0.0020
d	6.8793	9.0000	-2.1207	4.4976
f	7.2520	8.0000	-0.7480	0.5596
g	4.7724	5.0000	-0.2276	0.0518
h	5.1836	5.0000	+0.1836	0.0337
j	5.0195	9.0000	-3.9805	15.8443
k	10.1914	10.0000	+0.1914	0.0366
l	4.7431	4.0000	+0.7431	0.5521
z	0.0000	0.0000	+0.0000	0.0000
x	3.1230	2.0000	+1.1230	1.2611
c	2.7846	2.0000	+0.7846	0.6156
v	4.4190	5.0000	-0.5810	0.3375
b	2.2453	1.5000	+0.7453	0.5555
n	4.1039	4.5000	-0.3961	0.1569
m	4.1265	3.5000	+0.6265	0.3925
