# 当量分布统计
# 平均当量: 0.1338
# 变异系数(CV): 1.3190
# 标准差: 0.1765
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
时	0.7000	4323350
回	0.6775	1900800
部	0.6525	1038900
外	0.6250	1177060
行	0.5333	1452180
吗	0.4975	1068570
什	0.4625	2543490
战	0.4500	1013640
色	0.4500	1047510
全	0.4400	1098450
公	0.4200	1082610
进	0.4125	1425650
却	0.4125	1252650
点	0.4000	2095990
问	0.4000	1527500
十	0.4000	1352340
白	0.4000	1223300
同	0.3925	1377360
吧	0.3875	1265940
后	0.3500	3447490
#
# 当量最低的20个高频字 (字频>1000000):
让	0.0000	1580040
正	0.0000	1545520
明	0.0000	1508960
儿	0.0000	1501380
才	0.0000	1461800
三	0.0000	1447490
实	0.0000	1378320
向	0.0000	1354330
高	0.0000	1351680
其	0.0000	1273250
口	0.0000	1251120
因	0.0000	1229830
做	0.0000	1187890
门	0.0000	1176540
主	0.0000	1135910
住	0.0000	1114070
日	0.0000	1024590
理	0.0000	1002950
直	0.0000	1002140
重	0.0000	1001310
