# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.1369	1.0000	+1.1369	1.2925
w	4.1572	4.0000	+0.1572	0.0247
e	3.3463	3.0000	+0.3463	0.1199
r	3.5354	4.0000	-0.4646	0.2158
t	1.8861	1.5000	+0.3861	0.1491
y	1.5389	1.5000	+0.0389	0.0015
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.9210	1.0000	+0.9210	0.8482
a	1.9722	2.0000	-0.0278	0.0008
s	6.5559	5.0000	+1.5559	2.4210
d	5.4527	9.0000	-3.5473	12.5834
f	4.6273	8.0000	-3.3727	11.3752
g	5.0718	5.0000	+0.0718	0.0051
h	4.7803	5.0000	-0.2197	0.0483
j	4.7350	9.0000	-4.2650	18.1906
k	10.4670	10.0000	+0.4670	0.2181
l	6.0877	4.0000	+2.0877	4.3583
z	0.0000	0.0000	+0.0000	0.0000
x	2.4391	2.0000	+0.4391	0.1928
c	2.9037	2.0000	+0.9037	0.8167
v	5.1682	5.0000	+0.1682	0.0283
b	2.4840	1.5000	+0.9840	0.9682
n	4.6431	4.5000	+0.1431	0.0205
m	4.8177	3.5000	+1.3177	1.7362
