# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.1711	1.5000	+0.6711	0.4504
w	4.8259	4.0000	+0.8259	0.6821
e	3.3463	3.0000	+0.3463	0.1199
r	4.4734	4.0000	+0.4734	0.2241
t	1.9458	2.0000	-0.0542	0.0029
y	1.7150	1.5000	+0.2150	0.0462
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.9852	1.5000	+0.4852	0.2354
a	1.9722	2.0000	-0.0278	0.0008
s	6.1831	5.0000	+1.1831	1.3997
d	6.5635	7.0000	-0.4365	0.1905
f	4.8300	6.0000	-1.1700	1.3689
g	2.9881	5.0000	-2.0119	4.0478
h	4.3334	5.0000	-0.6666	0.4444
j	6.2410	7.0000	-0.7590	0.5761
k	9.9835	10.0000	-0.0165	0.0003
l	5.7762	5.0000	+0.7762	0.6025
z	0.0000	0.0000	+0.0000	0.0000
x	3.0279	2.5000	+0.5279	0.2787
c	2.7365	2.5000	+0.2365	0.0559
v	4.9425	5.0000	-0.0575	0.0033
b	2.0132	1.5000	+0.5132	0.2634
n	4.2920	4.5000	-0.2080	0.0433
m	4.3815	3.5000	+0.8815	0.7771
