# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.1787	1.5000	+0.6787	0.4607
w	4.3134	4.0000	+0.3134	0.0982
e	1.4175	1.5000	-0.0825	0.0068
r	5.1700	4.0000	+1.1700	1.3690
t	2.3338	2.0000	+0.3338	0.1114
y	5.0923	1.5000	+3.5923	12.9044
u	0.6120	1.0000	-0.3880	0.1506
i	1.6444	1.5000	+0.1444	0.0209
o	1.0873	1.0000	+0.0873	0.0076
p	2.4327	1.5000	+0.9327	0.8700
a	1.1382	1.0000	+0.1382	0.0191
s	6.6847	5.0000	+1.6847	2.8381
d	7.4772	8.0000	-0.5228	0.2733
f	4.6069	7.0000	-2.3931	5.7269
g	4.5083	5.0000	-0.4917	0.2418
h	5.3324	5.0000	+0.3324	0.1105
j	8.0724	7.0000	+1.0724	1.1499
k	6.9167	9.0000	-2.0833	4.3401
l	7.4594	4.0000	+3.4594	11.9677
z	0.0000	0.0000	+0.0000	0.0000
x	3.5147	3.0000	+0.5147	0.2650
c	2.9673	1.5000	+1.4673	2.1531
v	4.3810	5.0000	-0.6190	0.3832
b	2.4592	1.5000	+0.9592	0.9201
n	3.7505	4.5000	-0.7495	0.5617
m	4.4488	3.5000	+0.9488	0.9002
