# 当量分布统计
# 平均当量: 0.1573
# 变异系数(CV): 1.2134
# 标准差: 0.1909
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
本	0.9450	2579524
女	0.7800	3362646
杀	0.7675	1095880
目	0.7333	1365310
车	0.7333	1338066
样	0.7125	4769842
金	0.7100	1291889
时	0.7000	8207119
来	0.6950	14837007
她	0.6500	7870163
连	0.6500	1453048
着	0.6450	11165468
服	0.6000	1011511
思	0.5600	1438567
呢	0.5500	1793494
受	0.5500	1388441
深	0.5500	1060800
接	0.5350	1671342
公	0.5275	2055138
此	0.5000	2725965
#
# 当量最低的20个高频字 (字频>1000000):
失	0.0000	1182384
哥	0.0000	1176477
士	0.0000	1175727
惊	0.0000	1161953
竟	0.0000	1160070
结	0.0000	1132776
音	0.0000	1100301
指	0.0000	1099010
拉	0.0000	1096796
利	0.0000	1091519
合	0.0000	1085786
倒	0.0000	1085421
喜	0.0000	1069981
影	0.0000	1067165
谁	0.0000	1064240
落	0.0000	1054311
容	0.0000	1038318
怪	0.0000	1036985
言	0.0000	1026005
随	0.0000	1016322
