# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.9033	1.0000	+0.9033	0.8159
w	3.7201	4.0000	-0.2799	0.0783
e	3.3463	3.0000	+0.3463	0.1199
r	3.3959	4.0000	-0.6041	0.3649
t	2.6448	1.5000	+1.1448	1.3107
y	1.8305	1.5000	+0.3305	0.1092
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.9506	1.0000	+0.9506	0.9036
a	1.9722	2.0000	-0.0278	0.0008
s	5.6783	5.0000	+0.6783	0.4601
d	6.2001	9.0000	-2.7999	7.8396
f	6.5522	8.0000	-1.4478	2.0961
g	5.4601	5.0000	+0.4601	0.2117
h	6.1188	5.0000	+1.1188	1.2517
j	5.9794	9.0000	-3.0206	9.1239
k	9.0125	10.0000	-0.9875	0.9752
l	5.2608	4.0000	+1.2608	1.5896
z	0.0000	0.0000	+0.0000	0.0000
x	2.6873	2.0000	+0.6873	0.4724
c	2.4933	2.0000	+0.4933	0.2433
v	3.8738	5.0000	-1.1262	1.2683
b	2.2250	1.5000	+0.7250	0.5256
n	4.4474	4.5000	-0.0526	0.0028
m	3.9747	3.5000	+0.4747	0.2253
