# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.3522	1.5000	+0.8522	0.7262
w	4.7460	4.0000	+0.7460	0.5565
e	3.3463	3.0000	+0.3463	0.1199
r	4.3677	4.0000	+0.3677	0.1352
t	2.2147	2.0000	+0.2147	0.0461
y	1.4999	1.5000	-0.0001	0.0000
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.3801	1.5000	+0.8801	0.7746
a	1.9722	2.0000	-0.0278	0.0008
s	5.9216	5.0000	+0.9216	0.8494
d	5.2263	7.0000	-1.7737	3.1459
f	6.5868	6.0000	+0.5868	0.3444
g	4.1033	5.0000	-0.8967	0.8040
h	5.5578	5.0000	+0.5578	0.3112
j	6.0341	7.0000	-0.9659	0.9330
k	9.6580	10.0000	-0.3420	0.1170
l	6.4430	5.0000	+1.4430	2.0823
z	0.0000	0.0000	+0.0000	0.0000
x	3.0334	2.5000	+0.5334	0.2845
c	1.9804	2.5000	-0.5196	0.2699
v	3.1805	5.0000	-1.8195	3.3107
b	2.3717	1.5000	+0.8717	0.7598
n	3.9671	4.5000	-0.5329	0.2840
m	3.7841	3.5000	+0.2841	0.0807
