# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.2187	1.0000	+1.2187	1.4852
w	5.1320	4.0000	+1.1320	1.2815
e	3.3463	3.0000	+0.3463	0.1199
r	4.6555	4.0000	+0.6555	0.4297
t	2.3542	1.5000	+0.8542	0.7297
y	2.0175	1.5000	+0.5175	0.2678
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.5591	1.0000	+0.5591	0.3125
a	1.9722	2.0000	-0.0278	0.0008
s	5.2661	5.0000	+0.2661	0.0708
d	4.9556	9.0000	-4.0444	16.3568
f	6.3733	8.0000	-1.6267	2.6461
g	5.0615	5.0000	+0.0615	0.0038
h	5.0680	5.0000	+0.0680	0.0046
j	5.1380	9.0000	-3.8620	14.9149
k	10.3708	10.0000	+0.3708	0.1375
l	5.6746	4.0000	+1.6746	2.8043
z	0.0000	0.0000	+0.0000	0.0000
x	2.6716	2.0000	+0.6716	0.4510
c	2.3639	2.0000	+0.3639	0.1324
v	3.8121	5.0000	-1.1879	1.4112
b	2.2922	1.5000	+0.7922	0.6275
n	4.6134	4.5000	+0.1134	0.0129
m	3.8109	3.5000	+0.3109	0.0967
