# 当量分布统计
# 平均当量: 0.1451
# 变异系数(CV): 1.2927
# 标准差: 0.1876
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
年	0.7833	1825530
第	0.7600	1347940
时	0.6750	4323350
行	0.6200	1452180
分	0.5950	1353190
色	0.5875	1047510
少	0.5350	1022010
为	0.4750	3850400
什	0.4625	2543490
部	0.4500	1038900
回	0.4300	1900800
样	0.4250	2512660
吗	0.4125	1068570
同	0.3875	1377360
发	0.3850	2079110
次	0.3675	1215520
所	0.3500	1861730
感	0.3500	1332300
声	0.3375	1933960
别	0.3375	1053960
#
# 当量最低的20个高频字 (字频>1000000):
动	0.0000	1618940
间	0.0000	1616130
明	0.0000	1508960
儿	0.0000	1501380
法	0.0000	1474190
才	0.0000	1461800
几	0.0000	1454270
三	0.0000	1447490
向	0.0000	1354330
十	0.0000	1352340
学	0.0000	1352000
其	0.0000	1273250
口	0.0000	1251120
因	0.0000	1229830
白	0.0000	1223300
军	0.0000	1198430
做	0.0000	1187890
门	0.0000	1176540
果	0.0000	1109100
日	0.0000	1024590
