# 当量分布统计
# 平均当量: 0.1497
# 变异系数(CV): 1.2409
# 标准差: 0.1857
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
突	1.0500	1106693
强	0.8625	1361353
满	0.8625	1238021
度	0.7750	1082785
并	0.7333	1624589
目	0.7333	1365310
别	0.7125	2000757
受	0.7125	1388441
心	0.6333	6555833
流	0.6250	1114438
落	0.6250	1054311
关	0.6000	1675433
命	0.6000	1368062
喜	0.6000	1069981
告	0.5775	1054831
爱	0.5750	1516399
虽	0.5625	1211358
思	0.5600	1438567
实	0.5500	2616492
金	0.5433	1291889
#
# 当量最低的20个高频字 (字频>1000000):
路	0.0000	1338441
海	0.0000	1335124
世	0.0000	1305454
立	0.0000	1293824
总	0.0000	1273655
工	0.0000	1242237
始	0.0000	1239671
兵	0.0000	1226804
云	0.0000	1205872
哥	0.0000	1176477
士	0.0000	1175727
惊	0.0000	1161953
姐	0.0000	1158924
剑	0.0000	1151704
音	0.0000	1100301
紧	0.0000	1099517
且	0.0000	1092816
影	0.0000	1067165
容	0.0000	1038318
武	0.0000	1003136
