# 当量分布统计
# 平均当量: 0.1420
# 变异系数(CV): 1.1290
# 标准差: 0.1603
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
身	0.6467	2539030
次	0.6000	1215520
只	0.5500	2660320
行	0.5375	1452180
下	0.5333	4504440
开	0.4750	2289830
外	0.4750	1177060
第	0.4680	1347940
做	0.4400	1187890
声	0.4000	1933960
子	0.4000	4552430
见	0.4000	1823190
感	0.3500	1332300
些	0.3400	1976570
部	0.3400	1038900
年	0.3375	1825530
怎	0.3040	1327650
家	0.3000	2395150
让	0.3000	1580040
种	0.3000	1398040
#
# 当量最低的20个高频字 (字频>1000000):
儿	0.0000	1501380
法	0.0000	1474190
才	0.0000	1461800
几	0.0000	1454270
此	0.0000	1435990
分	0.0000	1353190
神	0.0000	1322140
口	0.0000	1251120
啊	0.0000	1246390
因	0.0000	1229830
白	0.0000	1223300
果	0.0000	1109100
与	0.0000	1108640
二	0.0000	1092400
候	0.0000	1087790
相	0.0000	1073400
等	0.0000	1054680
别	0.0000	1053960
死	0.0000	1042680
太	0.0000	1033990
