# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.5020	1.0000	+0.5020	0.2520
w	5.6533	4.0000	+1.6533	2.7333
e	3.3463	3.0000	+0.3463	0.1199
r	3.1192	4.0000	-0.8808	0.7758
t	1.8237	1.5000	+0.3237	0.1048
y	2.1450	1.5000	+0.6450	0.4160
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.7155	1.0000	+0.7155	0.5120
a	1.9722	2.0000	-0.0278	0.0008
s	5.8484	5.0000	+0.8484	0.7197
d	6.1588	9.0000	-2.8412	8.0725
f	5.7680	8.0000	-2.2320	4.9817
g	5.3639	5.0000	+0.3639	0.1324
h	5.4591	5.0000	+0.4591	0.2108
j	4.9165	9.0000	-4.0835	16.6746
k	10.9305	10.0000	+0.9305	0.8658
l	5.3772	4.0000	+1.3772	1.8968
z	0.0000	0.0000	+0.0000	0.0000
x	3.3014	2.0000	+1.3014	1.6936
c	2.5317	2.0000	+0.5317	0.2827
v	2.9796	5.0000	-2.0204	4.0821
b	2.3926	1.5000	+0.8926	0.7967
n	4.4182	4.5000	-0.0818	0.0067
m	4.0042	3.5000	+0.5042	0.2542
