# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.4950	1.0000	+0.4950	0.2450
w	3.9770	4.0000	-0.0230	0.0005
e	3.3463	3.0000	+0.3463	0.1199
r	3.2791	4.0000	-0.7209	0.5197
t	1.8005	1.5000	+0.3005	0.0903
y	1.8231	1.5000	+0.3231	0.1044
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.9343	1.0000	+0.9343	0.8729
a	1.9722	2.0000	-0.0278	0.0008
s	6.3243	5.0000	+1.3243	1.7537
d	5.6832	9.0000	-3.3168	11.0009
f	5.0486	8.0000	-2.9514	8.7105
g	5.5640	5.0000	+0.5640	0.3181
h	5.4863	5.0000	+0.4863	0.2364
j	5.1481	9.0000	-3.8519	14.8374
k	10.4527	10.0000	+0.4527	0.2050
l	5.3668	4.0000	+1.3668	1.8683
z	0.0000	0.0000	+0.0000	0.0000
x	3.2656	2.0000	+1.2656	1.6018
c	2.9721	2.0000	+0.9721	0.9450
v	5.1879	5.0000	+0.1879	0.0353
b	2.4830	1.5000	+0.9830	0.9663
n	3.2322	4.5000	-1.2678	1.6074
m	4.8851	3.5000	+1.3851	1.9184
