# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.8627	1.0000	+0.8627	0.7442
w	5.1572	4.0000	+1.1572	1.3390
e	3.3463	3.0000	+0.3463	0.1199
r	4.5615	4.0000	+0.5615	0.3153
t	2.2348	1.5000	+0.7348	0.5400
y	1.6329	1.5000	+0.1329	0.0177
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.1647	1.0000	+1.1647	1.3566
a	1.9722	2.0000	-0.0278	0.0008
s	5.8369	5.0000	+0.8369	0.7004
d	4.7904	9.0000	-4.2096	17.7205
f	6.0494	8.0000	-1.9506	3.8050
g	4.6476	5.0000	-0.3524	0.1242
h	4.7114	5.0000	-0.2886	0.0833
j	6.1274	9.0000	-2.8726	8.2517
k	10.2795	10.0000	+0.2795	0.0781
l	4.9674	4.0000	+0.9674	0.9358
z	0.0000	0.0000	+0.0000	0.0000
x	2.6274	2.0000	+0.6274	0.3937
c	2.0971	2.0000	+0.0971	0.0094
v	4.2865	5.0000	-0.7135	0.5091
b	2.0280	1.5000	+0.5280	0.2787
n	4.3768	4.5000	-0.1232	0.0152
m	4.9694	3.5000	+1.4694	2.1593
