# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.9010	1.0000	+0.9010	0.8118
w	3.8247	4.0000	-0.1753	0.0307
e	3.3463	3.0000	+0.3463	0.1199
r	3.2095	4.0000	-0.7905	0.6248
t	1.3501	1.5000	-0.1499	0.0225
y	1.2733	1.5000	-0.2267	0.0514
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.3399	1.0000	+1.3399	1.7952
a	1.9722	2.0000	-0.0278	0.0008
s	6.1014	5.0000	+1.1014	1.2130
d	5.7473	9.0000	-3.2527	10.5801
f	4.6523	8.0000	-3.3477	11.2074
g	5.7695	5.0000	+0.7695	0.5921
h	5.7511	5.0000	+0.7511	0.5641
j	5.7319	9.0000	-3.2681	10.6807
k	10.9944	10.0000	+0.9944	0.9888
l	6.1813	4.0000	+2.1813	4.7582
z	0.0000	0.0000	+0.0000	0.0000
x	3.3219	2.0000	+1.3219	1.7473
c	3.0177	2.0000	+1.0177	1.0356
v	4.1008	5.0000	-0.8992	0.8085
b	2.0804	1.5000	+0.5804	0.3368
n	3.5740	4.5000	-0.9260	0.8574
m	4.4866	3.5000	+0.9866	0.9734
