# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.7285	1.0000	+0.7285	0.5307
w	4.7190	4.0000	+0.7190	0.5169
e	3.3463	3.0000	+0.3463	0.1199
r	3.2714	4.0000	-0.7286	0.5309
t	1.9733	1.5000	+0.4733	0.2240
y	1.8716	1.5000	+0.3716	0.1381
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.9632	1.0000	+0.9632	0.9278
a	1.9722	2.0000	-0.0278	0.0008
s	5.3346	5.0000	+0.3346	0.1120
d	5.0477	9.0000	-3.9523	15.6204
f	6.6932	8.0000	-1.3068	1.7078
g	5.0238	5.0000	+0.0238	0.0006
h	3.8396	5.0000	-1.1604	1.3466
j	5.6808	9.0000	-3.3192	11.0173
k	9.9746	10.0000	-0.0254	0.0006
l	5.9549	4.0000	+1.9549	3.8216
z	0.0000	0.0000	+0.0000	0.0000
x	2.5156	2.0000	+0.5156	0.2658
c	2.6325	2.0000	+0.6325	0.4001
v	5.0504	5.0000	+0.0504	0.0025
b	2.3137	1.5000	+0.8137	0.6621
n	5.4380	4.5000	+0.9380	0.8799
m	4.3825	3.5000	+0.8825	0.7789
