# 线程: 4
# 综合得分: 0.0437
# 重码数: 783
# 重码率: 0.051993%
# 加权键均当量: 0.1323
# 当量变异系数(CV): 1.3266
# 用指分布偏差(L2): 9.9566
#
# 格式: 字根名 [tab] 编码 [tab] 使用次数(频率加权)
#
一.A	F	111511544
口.A	G	110611259
丶.A	F	72120625
日.A	L	65438125
口.S	K	57714841
亻.A	N	57395025
丶.Y	I	52541482
人.A	J	51349219
勹.A	M	48683312
一.S	K	46416951
白.A	V	45880351
土.A	S	38786398
扌.A	F	37736316
丿.A	N	36941391
辶.A	L	36369949
月.A	R	35348701
木.A	D	31184940
厶.A	L	29832914
丨.A	K	29604622
人.S	R	29421538
女.A	W	26810243
一.Y	E	26464590
大.A	Y	26374972
又.A	C	26133273
小.A	K	25838744
寸.A	N	24831349
土.S	D	24752356
亻.Y	E	24663934
ナ.A	J	24646368
氵.A	K	24092634
也.A	D	23454357
也.S	K	23452850
八.A	J	23097757
女.S	N	22640751
戈.A	K	22405295
月.S	K	21974001
心.A	H	21561173
大.S	D	20864331
目.A	W	20863597
龰.A	D	20507998
讠.A	Y	20500923
不.A	H	20441910
不.S	B	20416316
寸.S	C	20237674
乙.A	N	20187662
阝.A	T	19971621
日.S	R	19367638
不.Y	O	19298210
匕.A	K	19011180
戈.S	G	18957515
夊.A	Y	18861122
了.A	J	18611527
了.S	L	18562430
十.A	H	18556205
了.Y	A	18363919
⺈.A	W	18004582
龰.Y	U	17998448
人.Y	I	17676291
刂.A	P	17281533
小.S	X	17047074
力.A	Q	16930554
又.S	K	16851373
宀.A	W	16691392
儿.A	L	16493664
王.A	J	16356543
心.S	X	16128746
丷.A	S	15846745
木.S	M	15679557
子.A	J	15210441
二.A	V	14934361
目.S	M	14911993
䒑.A	S	14261579
艹.A	V	13300842
子.S	V	13079715
米.A	S	13026737
八.S	B	12984832
立.A	T	12748531
文.A	T	12674309
阝.Y	A	12545753
乂.A	S	12304282
王.S	W	12251796
冂.A	D	11887491
丁.A	P	11870193
辶.Y	I	11852570
冖.A	W	11738127
门.A	V	11654353
纟.A	C	11648699
{乞上}.A	H	11252634
ナ.Y	O	11043345
文.S	W	10990828
夕.A	N	10904528
文.Y	I	10798133
门.S	M	10760801
自.A	K	10750690
彳.A	G	10514130
彐.A	D	10509799
力.S	L	10291436
匕.S	B	10209381
{奉下}.A	T	10039257
忄.A	C	9815252
禾.A	H	9545419
工.A	H	9532237
十.S	S	9498215
囗.A	B	9298641
亠.A	C	9274537
米.S	M	9130019
丿.Y	E	9033532
乚.A	N	8867402
至.A	W	8520608
{京上}.A	D	8500697
上.A	F	8454369
灬.A	W	8374840
工.S	G	8268454
扌.Y	O	8258958
耂.A	X	8124272
里.A	X	8101822
上.S	S	8078529
斤.A	S	8027674
{于下}.A	N	7805731
ㄩ.A	M	7743058
竹.A	H	7733652
尤.A	S	7714870
至.S	V	7658327
里.S	L	7622186
艮.A	M	7538888
几.A	V	7498444
讠.Y	I	7420334
田.A	P	7386256
氵.Y	I	7347581
艮.S	G	7319452
尤.S	K	7317431
大.Y	O	7276030
龶.A	N	7232194
车.A	H	7155999
⺀.A	V	7118643
己.A	L	7059224
己.S	J	6963610
尸.A	P	6939425
至.Y	O	6888332
丁.S	D	6845980
夊.Y	E	6694441
儿.S	W	6600313
厶.Y	A	6590121
廾.A	V	6553145
止.A	D	6544764
刂.Y	U	6541649
巾.A	R	6540709
殳.A	V	6524313
口.Y	E	6520130
见.A	G	6511975
走.A	S	6477109
见.S	J	6465588
乙.S	K	6377525
斤.S	J	6352071
冫.A	V	6334905
方.A	Q	6306157
⺶.A	H	6290048
上.Y	U	6278330
⺶.Y	I	6266099
犬.A	J	6229248
灬.Y	I	6215792
弓.A	L	6214950
西.A	M	6197159
刀.A	H	6073266
