# 当量分布统计
# 平均当量: 0.1538
# 变异系数(CV): 1.0521
# 标准差: 0.1619
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
吗	0.7825	1068570
法	0.6800	1474190
吧	0.6500	1265940
下	0.6167	4504440
行	0.5375	1452180
理	0.4000	1002950
了	0.4000	18338520
和	0.4000	3293450
见	0.4000	1823190
力	0.4000	1737650
日	0.4000	1024590
此	0.3875	1435990
最	0.3400	1360650
将	0.3260	1385020
候	0.3200	1087790
想	0.3200	3234720
感	0.3200	1332300
十	0.3167	1352340
高	0.3167	1351680
等	0.3060	1054680
#
# 当量最低的20个高频字 (字频>1000000):
从	0.0000	1671880
间	0.0000	1616130
走	0.0000	1591000
被	0.0000	1579320
正	0.0000	1545520
儿	0.0000	1501380
才	0.0000	1461800
几	0.0000	1454270
分	0.0000	1353190
边	0.0000	1289880
其	0.0000	1273250
却	0.0000	1252650
因	0.0000	1229830
白	0.0000	1223300
次	0.0000	1215520
果	0.0000	1109100
二	0.0000	1092400
张	0.0000	1041560
太	0.0000	1033990
少	0.0000	1022010
