# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.3051	1.0000	+0.3051	0.0931
w	3.9997	4.0000	-0.0003	0.0000
e	4.1799	3.0000	+1.1799	1.3922
r	2.3780	4.0000	-1.6220	2.6308
t	1.9425	1.5000	+0.4425	0.1958
y	2.2030	1.5000	+0.7030	0.4942
u	2.4279	2.0000	+0.4279	0.1831
i	6.4800	3.5000	+2.9800	8.8804
o	3.6793	3.0000	+0.6793	0.4614
p	2.1230	1.0000	+1.1230	1.2611
a	3.8978	2.0000	+1.8978	3.6016
s	5.9467	5.0000	+0.9467	0.8962
d	7.6928	9.0000	-1.3072	1.7087
f	9.3665	8.0000	+1.3665	1.8674
g	4.2561	5.0000	-0.7439	0.5534
h	2.2011	5.0000	-2.7989	7.8340
j	8.6510	9.0000	-0.3490	0.1218
k	8.1755	10.0000	-1.8245	3.3288
l	5.3869	4.0000	+1.3869	1.9235
z	0.0000	0.0000	+0.0000	0.0000
x	1.4892	2.0000	-0.5108	0.2610
c	2.0952	2.0000	+0.0952	0.0091
v	1.8207	5.0000	-3.1793	10.1080
b	1.6989	1.5000	+0.1989	0.0395
n	3.9744	4.5000	-0.5256	0.2763
m	2.6288	3.5000	-0.8712	0.7590
