# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.0696	1.0000	+1.0696	1.1440
w	4.8722	4.0000	+0.8722	0.7608
e	3.3463	3.0000	+0.3463	0.1199
r	4.0982	4.0000	+0.0982	0.0096
t	1.2855	1.5000	-0.2145	0.0460
y	1.8533	1.5000	+0.3533	0.1248
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.1788	1.0000	+1.1788	1.3895
a	1.9722	2.0000	-0.0278	0.0008
s	5.6895	5.0000	+0.6895	0.4754
d	5.7916	9.0000	-3.2084	10.2939
f	5.7804	8.0000	-2.2196	4.9268
g	5.2204	5.0000	+0.2204	0.0486
h	4.6089	5.0000	-0.3911	0.1530
j	6.1440	9.0000	-2.8560	8.1568
k	9.5714	10.0000	-0.4286	0.1837
l	5.0061	4.0000	+1.0061	1.0123
z	0.0000	0.0000	+0.0000	0.0000
x	2.9783	2.0000	+0.9783	0.9571
c	2.8231	2.0000	+0.8231	0.6775
v	4.8769	5.0000	-0.1231	0.0151
b	2.2325	1.5000	+0.7325	0.5365
n	4.2971	4.5000	-0.2029	0.0412
m	4.0311	3.5000	+0.5311	0.2820
