# 线程: 6
# 综合得分: 0.3783
# 重码数: 778
# 重码率: 0.016654%
# 加权键均当量: 0.1573
# 当量变异系数(CV): 1.1313
# 用指分布偏差(L2): 7.1741
#
# 格式: 字根名 [tab] 编码 [tab] 使用次数(频率加权)
#
一.A	F	203352260
口.A	S	201313561
丶.A	F	134560917
日.A	K	119273677
口.S	K	108477708
亻.A	F	106025374
丶.Y	I	98914968
人.A	N	94138610
勹.A	J	91285816
一.S	K	87983108
白.A	V	86449889
扌.A	J	70675067
土.A	G	69835241
丿.A	G	68825267
月.A	R	65756921
辶.A	J	65694277
木.A	D	56486590
丨.A	D	56039775
厶.A	Y	55705929
人.S	R	55644323
女.A	T	50391945
一.Y	O	50134001
大.A	M	49605543
小.A	J	48722119
又.A	N	48496087
土.S	D	46823040
ナ.A	N	46615814
亻.Y	E	45917484
寸.A	L	44603806
也.A	J	44467566
也.S	K	44464706
氵.A	Y	43555817
女.S	N	42662906
月.S	K	41364325
八.A	H	40846748
戈.A	J	40372227
目.A	V	39529244
大.S	D	39513813
心.A	L	39436090
讠.A	H	38917370
不.A	J	38803455
不.S	B	38754867
龰.A	P	38431235
乙.A	Q	37861180
阝.A	T	36908136
不.Y	O	36634242
寸.S	C	36271749
戈.S	G	35862285
匕.A	M	35716602
日.S	R	35467177
了.A	H	35251866
了.S	L	35237489
了.Y	A	34860650
龰.Y	U	34166868
⺈.A	K	33965546
人.Y	E	33555297
夊.A	P	33400386
十.A	L	33149193
小.S	X	32323767
刂.A	W	32001918
又.S	K	31418428
力.A	X	30953355
宀.A	W	30661493
心.S	X	30486144
王.A	L	29969785
儿.A	M	29779268
木.S	M	29297286
丷.A	G	29295332
目.S	M	28289883
子.A	H	28012405
二.A	W	27915362
䒑.A	G	25563443
子.S	V	24827047
八.S	B	24164545
米.A	R	24113647
阝.Y	A	23701702
文.A	D	23681470
立.A	C	23310911
艹.A	Q	23039242
王.S	W	22623667
丁.A	K	22390866
门.A	Q	22123733
纟.A	C	22112994
辶.Y	I	22106950
乂.A	W	22037283
冂.A	L	21492882
ナ.Y	O	20952198
文.S	W	20849591
冖.A	K	20597586
文.Y	I	20498348
夕.A	H	20463268
门.S	M	20427486
{乞上}.A	P	20386840
自.A	K	20123657
匕.S	B	19363343
力.S	L	18993472
彳.A	S	18949009
彐.A	S	18895060
{奉下}.A	N	18836769
忄.A	M	18377970
禾.A	L	17489631
十.S	S	17312409
丿.Y	E	17009006
米.S	M	16999049
工.A	X	16902804
乚.A	Q	16694505
亠.A	D	16639945
{京上}.A	G	16096690
上.A	H	16048891
扌.Y	O	15664662
至.A	K	15638843
工.S	G	15457047
囗.A	M	15414401
上.S	S	15335647
灬.A	R	15205696
耂.A	V	15112275
斤.A	S	14850899
{于下}.A	L	14702775
尤.A	R	14644155
至.S	V	14536595
ㄩ.A	V	14440683
竹.A	P	14252642
艮.A	Y	14111895
讠.Y	I	14086184
里.A	F	14069297
几.A	D	13966866
氵.Y	I	13922739
尤.S	K	13890357
艮.S	G	13815858
大.Y	O	13812252
里.S	L	13745245
车.A	P	13584393
龶.A	W	13381978
己.A	L	13146521
至.Y	O	13076282
⺀.A	W	13071066
己.S	J	12965102
尸.A	R	12929280
田.A	H	12929277
丁.S	D	12906283
厶.Y	A	12449302
口.Y	U	12370442
见.A	X	12361817
见.S	J	12273761
走.A	D	12230111
夊.Y	E	12185781
止.A	P	12162187
儿.S	W	12080850
刂.Y	U	12044968
斤.S	J	11978103
乙.S	K	11976746
⺶.A	V	11940165
上.Y	U	11918291
⺶.Y	I	11895086
廾.A	Q	11868798
灬.Y	I	11794885
冫.A	W	11761908
乂.S	K	11495513
犬.A	W	11476951
巾.A	T	11447207
西.A	P	11436790
方.A	Y	11286505
几.S	J	11255233
刀.A	V	11145528
殳.A	D	11133717
七.A	L	11120497
夕.S	X	11049897
宀.Y	I	10959473
巴.A	L	10729487
巴.S	B	10727649
殳.S	S	10715397
弓.A	H	10467911
⺁.A	S	10452837
贝.A	X	10424196
走.S	V	10326833
西.S	X	10301198
矢.A	L	10213052
示.A	V	10186189
禾.S	H	9946541
⺊.A	T	9852606
用.A	W	9581258
也.Y	A	9508705
兀.A	Y	9359353
广.A	M	9281654
巾.S	J	9225750
自.S	V	9165103
{介下}.A	H	9102088
卩.A	P	9060574
戊.A	J	9036231
下.A	K	8917117
下.S	X	8917117
屮.A	V	8873633
子.Y	A	8873091
火.A	X	8756831
生.A	R	8756338
立.S	L	8740396
⺌.A	J	8658362
古.A	M	8636217
二.S	W	8615035
生.S	S	8600320
下.Y	O	8550882
小.Y	U	8323921
示.S	S	8313658
龵.A	J	8296413
屮.Y	A	8294943
隹.A	X	8149437
士.A	G	8113674
土.Y	O	8061698
龵.Y	E	8030267
车.S	C	8026551
囗.Y	U	7962567
舌.A	F	7939605
⺀.Y	I	7902990
马.A	M	7621544
足.A	B	7584494
