# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.1017	1.5000	+0.6017	0.3620
w	4.0596	4.0000	+0.0596	0.0036
e	3.0939	3.0000	+0.0939	0.0088
r	3.8195	4.0000	-0.1805	0.0326
t	2.5871	2.0000	+0.5871	0.3447
y	2.0979	1.5000	+0.5979	0.3575
u	1.9438	2.0000	-0.0562	0.0032
i	3.9115	3.0000	+0.9115	0.8309
o	3.7496	2.5000	+1.2496	1.5614
p	2.4229	1.5000	+0.9229	0.8518
a	2.2123	1.0000	+1.2123	1.4697
s	5.7106	5.0000	+0.7106	0.5050
d	4.6580	8.0000	-3.3420	11.1690
f	7.0741	7.0000	+0.0741	0.0055
g	4.7685	5.0000	-0.2315	0.0536
h	4.0904	5.0000	-0.9096	0.8274
j	7.2665	7.0000	+0.2665	0.0710
k	9.3120	9.0000	+0.3120	0.0973
l	5.0461	4.0000	+1.0461	1.0942
z	0.0000	0.0000	+0.0000	0.0000
x	2.9485	3.0000	-0.0515	0.0027
c	1.9603	1.5000	+0.4603	0.2119
v	4.5243	5.0000	-0.4757	0.2263
b	2.0182	1.5000	+0.5182	0.2685
n	4.0773	4.5000	-0.4227	0.1787
m	4.5455	3.5000	+1.0455	1.0931
