# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.0551	1.0000	+1.0551	1.1133
w	3.5388	4.0000	-0.4612	0.2127
e	5.5786	3.0000	+2.5786	6.6494
r	2.9208	4.0000	-1.0792	1.1647
t	1.8719	1.5000	+0.3719	0.1383
y	2.1046	1.5000	+0.6046	0.3656
u	1.7692	2.0000	-0.2308	0.0533
i	4.6624	3.5000	+1.1624	1.3512
o	3.4993	3.0000	+0.4993	0.2493
p	2.0625	1.0000	+1.0625	1.1289
a	3.7938	2.0000	+1.7938	3.2176
s	4.8992	5.0000	-0.1008	0.0102
d	8.4026	9.0000	-0.5974	0.3568
f	6.8754	8.0000	-1.1246	1.2648
g	3.4899	5.0000	-1.5101	2.2805
h	4.1994	5.0000	-0.8006	0.6410
j	10.1625	9.0000	+1.1625	1.3514
k	8.8642	10.0000	-1.1358	1.2901
l	4.8532	4.0000	+0.8532	0.7280
z	0.0000	0.0000	+0.0000	0.0000
x	2.1753	2.0000	+0.1753	0.0307
c	1.8110	2.0000	-0.1890	0.0357
v	4.5507	5.0000	-0.4493	0.2018
b	1.4533	1.5000	-0.0467	0.0022
n	1.8634	4.5000	-2.6366	6.9516
m	2.5427	3.5000	-0.9573	0.9164
