# 当量分布统计
# 平均当量: 0.1413
# 变异系数(CV): 1.0875
# 标准差: 0.1536
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
法	0.7080	1474190
被	0.5375	1579320
生	0.5333	2616400
正	0.4667	1545520
却	0.4400	1252650
些	0.4400	1976570
下	0.4000	4504440
面	0.4000	2387880
见	0.4000	1823190
走	0.4000	1591000
都	0.3880	3341330
得	0.3800	3785580
样	0.3750	2512660
但	0.3400	1846500
多	0.3375	2432250
开	0.3250	2289830
候	0.3100	1087790
行	0.3050	1452180
没	0.3000	3982670
去	0.3000	3783550
#
# 当量最低的20个高频字 (字频>1000000):
长	0.0000	1633050
给	0.0000	1548410
最	0.0000	1360650
向	0.0000	1354330
分	0.0000	1353190
第	0.0000	1347940
听	0.0000	1290380
边	0.0000	1289880
作	0.0000	1284130
吧	0.0000	1265940
啊	0.0000	1246390
因	0.0000	1229830
白	0.0000	1223300
门	0.0000	1176540
光	0.0000	1151390
住	0.0000	1114070
全	0.0000	1098450
二	0.0000	1092400
等	0.0000	1054680
理	0.0000	1002950
