# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.7413	1.0000	+0.7413	0.5496
w	4.2678	4.0000	+0.2678	0.0717
e	3.3463	3.0000	+0.3463	0.1199
r	3.9843	4.0000	-0.0157	0.0002
t	1.6714	1.5000	+0.1714	0.0294
y	1.8828	1.5000	+0.3828	0.1466
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.0950	1.0000	+1.0950	1.1990
a	1.9722	2.0000	-0.0278	0.0008
s	5.3491	5.0000	+0.3491	0.1219
d	5.3426	9.0000	-3.6574	13.3768
f	6.5885	8.0000	-1.4115	1.9923
g	4.5293	5.0000	-0.4707	0.2215
h	4.4733	5.0000	-0.5267	0.2774
j	5.7208	9.0000	-3.2792	10.7530
k	11.2167	10.0000	+1.2167	1.4803
l	5.7226	4.0000	+1.7226	2.9673
z	0.0000	0.0000	+0.0000	0.0000
x	3.0055	2.0000	+1.0055	1.0109
c	2.7476	2.0000	+0.7476	0.5589
v	5.1451	5.0000	+0.1451	0.0210
b	2.4854	1.5000	+0.9854	0.9710
n	3.6683	4.5000	-0.8317	0.6917
m	3.7716	3.5000	+0.2716	0.0738
