# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.9077	1.0000	+0.9077	0.8240
w	4.6769	4.0000	+0.6769	0.4582
e	3.3463	3.0000	+0.3463	0.1199
r	3.5572	4.0000	-0.4428	0.1961
t	2.2507	1.5000	+0.7507	0.5635
y	2.0344	1.5000	+0.5344	0.2856
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.8449	1.0000	+0.8449	0.7139
a	1.9722	2.0000	-0.0278	0.0008
s	5.6860	5.0000	+0.6860	0.4706
d	5.3477	9.0000	-3.6523	13.3390
f	7.0990	8.0000	-0.9010	0.8118
g	4.3565	5.0000	-0.6435	0.4141
h	4.4014	5.0000	-0.5986	0.3583
j	6.9434	9.0000	-2.0566	4.2294
k	9.3678	10.0000	-0.6322	0.3996
l	4.7385	4.0000	+0.7385	0.5453
z	0.0000	0.0000	+0.0000	0.0000
x	3.6141	2.0000	+1.6141	2.6055
c	2.0218	2.0000	+0.0218	0.0005
v	4.2433	5.0000	-0.7567	0.5726
b	2.2459	1.5000	+0.7459	0.5564
n	4.7161	4.5000	+0.2161	0.0467
m	4.3554	3.5000	+0.8554	0.7317
