# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.8666	1.0000	+0.8666	0.7510
w	3.5636	4.0000	-0.4364	0.1904
e	3.8123	3.0000	+0.8123	0.6599
r	1.9924	4.0000	-2.0076	4.0306
t	2.0564	1.5000	+0.5564	0.3096
y	1.5866	1.5000	+0.0866	0.0075
u	2.4819	2.0000	+0.4819	0.2322
i	8.1642	3.5000	+4.6642	21.7547
o	3.5042	3.0000	+0.5042	0.2543
p	2.1666	1.0000	+1.1666	1.3609
a	4.0741	2.0000	+2.0741	4.3020
s	4.9113	5.0000	-0.0887	0.0079
d	10.3380	9.0000	+1.3380	1.7902
f	6.6153	8.0000	-1.3847	1.9175
g	3.7387	5.0000	-1.2613	1.5910
h	4.8320	5.0000	-0.1680	0.0282
j	9.5663	9.0000	+0.5663	0.3207
k	6.0496	10.0000	-3.9504	15.6057
l	4.5801	4.0000	+0.5801	0.3365
z	0.0000	0.0000	+0.0000	0.0000
x	2.1000	2.0000	+0.1000	0.0100
c	1.8327	2.0000	-0.1673	0.0280
v	3.7078	5.0000	-1.2922	1.6698
b	1.8284	1.5000	+0.3284	0.1079
n	2.3890	4.5000	-2.1110	4.4564
m	2.2419	3.5000	-1.2581	1.5828
