# 当量分布统计
# 平均当量: 0.1486
# 变异系数(CV): 1.0136
# 标准差: 0.1507
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
听	0.5750	1290380
十	0.5000	1352340
事	0.4400	2491320
本	0.4250	1358840
次	0.4125	1215520
怎	0.4120	1327650
学	0.4020	1352000
几	0.4000	1454270
三	0.4000	1447490
口	0.4000	1251120
军	0.3900	1198430
自	0.3833	3825320
无	0.3625	2200520
部	0.3600	1038900
法	0.3520	1474190
被	0.3500	1579320
给	0.3500	1548410
第	0.3260	1347940
感	0.3200	1332300
分	0.3125	1353190
#
# 当量最低的20个高频字 (字频>1000000):
方	0.0000	1828860
当	0.0000	1810660
女	0.0000	1771380
力	0.0000	1737650
从	0.0000	1671880
用	0.0000	1670140
行	0.0000	1452180
进	0.0000	1425650
向	0.0000	1354330
作	0.0000	1284130
因	0.0000	1229830
光	0.0000	1151390
主	0.0000	1135910
候	0.0000	1087790
相	0.0000	1073400
吗	0.0000	1068570
等	0.0000	1054680
色	0.0000	1047510
太	0.0000	1033990
重	0.0000	1001310
