# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.0496	1.5000	+0.5496	0.3021
w	4.0335	4.0000	+0.0335	0.0011
e	3.0939	3.0000	+0.0939	0.0088
r	3.2884	4.0000	-0.7116	0.5063
t	1.0542	2.0000	-0.9458	0.8946
y	1.7164	1.5000	+0.2164	0.0469
u	1.9438	2.0000	-0.0562	0.0032
i	3.9115	3.0000	+0.9115	0.8309
o	3.7496	2.5000	+1.2496	1.5614
p	1.9870	1.5000	+0.4870	0.2371
a	2.2123	1.0000	+1.2123	1.4697
s	5.7748	5.0000	+0.7748	0.6003
d	5.9375	8.0000	-2.0625	4.2540
f	7.5037	7.0000	+0.5037	0.2537
g	4.5129	5.0000	-0.4871	0.2373
h	5.1867	5.0000	+0.1867	0.0348
j	6.6775	7.0000	-0.3225	0.1040
k	9.5380	9.0000	+0.5380	0.2894
l	5.2233	4.0000	+1.2233	1.4965
z	0.0000	0.0000	+0.0000	0.0000
x	3.4520	3.0000	+0.4520	0.2043
c	2.0896	1.5000	+0.5896	0.3476
v	4.5176	5.0000	-0.4824	0.2327
b	2.1761	1.5000	+0.6761	0.4571
n	4.6540	4.5000	+0.1540	0.0237
m	3.7162	3.5000	+0.2162	0.0467
