# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.9743	1.5000	+0.4743	0.2249
w	4.5280	4.0000	+0.5280	0.2788
e	3.3692	3.0000	+0.3692	0.1363
r	3.8774	4.0000	-0.1226	0.0150
t	2.2003	2.0000	+0.2003	0.0401
y	1.7300	1.5000	+0.2300	0.0529
u	1.6951	2.0000	-0.3049	0.0929
i	4.8044	3.5000	+1.3044	1.7014
o	2.8793	3.0000	-0.1207	0.0146
p	2.0852	1.5000	+0.5852	0.3425
a	2.0020	2.0000	+0.0020	0.0000
s	5.4773	5.0000	+0.4773	0.2278
d	7.0293	7.0000	+0.0293	0.0009
f	4.8687	6.0000	-1.1313	1.2799
g	5.4813	5.0000	+0.4813	0.2316
h	5.2634	5.0000	+0.2634	0.0694
j	5.6330	7.0000	-1.3670	1.8686
k	9.1742	10.0000	-0.8258	0.6820
l	5.5519	5.0000	+0.5519	0.3046
z	0.0000	0.0000	+0.0000	0.0000
x	2.6510	2.5000	+0.1510	0.0228
c	2.8611	2.5000	+0.3611	0.1304
v	4.3996	5.0000	-0.6004	0.3605
b	2.0600	1.5000	+0.5600	0.3136
n	4.6005	4.5000	+0.1005	0.0101
m	3.8035	3.5000	+0.3035	0.0921
