# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.4773	1.5000	+0.9773	0.9551
w	4.2597	4.0000	+0.2597	0.0675
e	3.3463	3.0000	+0.3463	0.1199
r	4.3880	4.0000	+0.3880	0.1505
t	1.9275	2.0000	-0.0725	0.0053
y	1.7128	1.5000	+0.2128	0.0453
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.4199	1.5000	+0.9199	0.8461
a	1.9722	2.0000	-0.0278	0.0008
s	4.3971	5.0000	-0.6029	0.3635
d	5.6741	7.0000	-1.3259	1.7579
f	5.2279	6.0000	-0.7721	0.5961
g	5.4186	5.0000	+0.4186	0.1752
h	4.3503	5.0000	-0.6497	0.4221
j	5.8310	7.0000	-1.1690	1.3665
k	10.9798	10.0000	+0.9798	0.9599
l	6.4422	5.0000	+1.4422	2.0798
z	0.0000	0.0000	+0.0000	0.0000
x	2.8589	2.5000	+0.3589	0.1288
c	2.2242	2.5000	-0.2758	0.0761
v	3.8100	5.0000	-1.1900	1.4160
b	2.0848	1.5000	+0.5848	0.3420
n	4.4770	4.5000	-0.0230	0.0005
m	4.4477	3.5000	+0.9477	0.8982
