# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.1237	1.5000	+0.6237	0.3890
w	4.3111	4.0000	+0.3111	0.0968
e	3.3463	3.0000	+0.3463	0.1199
r	3.3341	4.0000	-0.6659	0.4434
t	1.8333	2.0000	-0.1667	0.0278
y	1.9445	1.5000	+0.4445	0.1976
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.3168	1.5000	+0.8168	0.6671
a	1.9722	2.0000	-0.0278	0.0008
s	4.6257	5.0000	-0.3743	0.1401
d	6.0729	7.0000	-0.9271	0.8595
f	5.3929	6.0000	-0.6071	0.3686
g	4.3644	5.0000	-0.6356	0.4040
h	5.0963	5.0000	+0.0963	0.0093
j	5.6958	7.0000	-1.3042	1.7010
k	10.8858	10.0000	+0.8858	0.7846
l	6.1649	5.0000	+1.1649	1.3570
z	0.0000	0.0000	+0.0000	0.0000
x	3.1388	2.5000	+0.6388	0.4081
c	2.4796	2.5000	-0.0204	0.0004
v	4.7971	5.0000	-0.2029	0.0412
b	2.2831	1.5000	+0.7831	0.6133
n	4.5750	4.5000	+0.0750	0.0056
m	3.9730	3.5000	+0.4730	0.2237
