# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.8763	1.0000	+0.8763	0.7678
w	4.3216	4.0000	+0.3216	0.1034
e	3.3463	3.0000	+0.3463	0.1199
r	3.7207	4.0000	-0.2793	0.0780
t	2.0295	1.5000	+0.5295	0.2804
y	1.7662	1.5000	+0.2662	0.0708
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.0626	1.0000	+1.0626	1.1291
a	1.9722	2.0000	-0.0278	0.0008
s	6.3043	5.0000	+1.3043	1.7013
d	6.5938	9.0000	-2.4062	5.7896
f	6.3765	8.0000	-1.6235	2.6358
g	4.0400	5.0000	-0.9600	0.9217
h	4.4852	5.0000	-0.5148	0.2650
j	6.9732	9.0000	-2.0268	4.1079
k	9.4828	10.0000	-0.5172	0.2675
l	5.2827	4.0000	+1.2827	1.6453
z	0.0000	0.0000	+0.0000	0.0000
x	2.6126	2.0000	+0.6126	0.3753
c	2.3293	2.0000	+0.3293	0.1084
v	5.0064	5.0000	+0.0064	0.0000
b	2.0015	1.5000	+0.5015	0.2515
n	4.1535	4.5000	-0.3465	0.1201
m	3.9901	3.5000	+0.4901	0.2402
