# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.9672	1.5000	+0.4672	0.2182
w	3.6783	4.0000	-0.3217	0.1035
e	3.3463	3.0000	+0.3463	0.1199
r	3.2838	4.0000	-0.7162	0.5129
t	1.6168	2.0000	-0.3832	0.1469
y	1.6893	1.5000	+0.1893	0.0358
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.7645	1.5000	+0.2645	0.0700
a	1.9722	2.0000	-0.0278	0.0008
s	6.3074	5.0000	+1.3074	1.7094
d	6.3223	7.0000	-0.6777	0.4593
f	5.7940	6.0000	-0.2060	0.0424
g	4.6563	5.0000	-0.3437	0.1182
h	4.6772	5.0000	-0.3228	0.1042
j	5.3512	7.0000	-1.6488	2.7187
k	10.9805	10.0000	+0.9805	0.9614
l	6.7510	5.0000	+1.7510	3.0661
z	0.0000	0.0000	+0.0000	0.0000
x	3.5496	2.5000	+1.0496	1.1016
c	2.9899	2.5000	+0.4899	0.2400
v	4.1286	5.0000	-0.8714	0.7593
b	2.3123	1.5000	+0.8123	0.6598
n	3.6853	4.5000	-0.8147	0.6637
m	3.9034	3.5000	+0.4034	0.1627
