# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.9874	1.5000	+0.4874	0.2376
w	4.3070	4.0000	+0.3070	0.0943
e	3.3692	3.0000	+0.3692	0.1363
r	3.8492	4.0000	-0.1508	0.0227
t	2.0044	2.0000	+0.0044	0.0000
y	1.8381	1.5000	+0.3381	0.1143
u	1.6951	2.0000	-0.3049	0.0929
i	4.8044	3.5000	+1.3044	1.7014
o	2.8793	3.0000	-0.1207	0.0146
p	1.9843	1.5000	+0.4843	0.2346
a	2.0020	2.0000	+0.0020	0.0000
s	5.5925	5.0000	+0.5925	0.3511
d	5.9485	7.0000	-1.0515	1.1056
f	6.0089	6.0000	+0.0089	0.0001
g	5.0205	5.0000	+0.0205	0.0004
h	4.9458	5.0000	-0.0542	0.0029
j	6.6371	7.0000	-0.3629	0.1317
k	10.3614	10.0000	+0.3614	0.1306
l	5.9030	5.0000	+0.9030	0.8154
z	0.0000	0.0000	+0.0000	0.0000
x	2.7390	2.5000	+0.2390	0.0571
c	2.6965	2.5000	+0.1965	0.0386
v	3.3297	5.0000	-1.6703	2.7899
b	1.7645	1.5000	+0.2645	0.0699
n	4.6736	4.5000	+0.1736	0.0302
m	3.6584	3.5000	+0.1584	0.0251
