# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.0102	1.5000	+0.5102	0.2603
w	4.2064	4.0000	+0.2064	0.0426
e	3.3692	3.0000	+0.3692	0.1363
r	3.1032	4.0000	-0.8968	0.8042
t	2.1075	2.0000	+0.1075	0.0116
y	1.6535	1.5000	+0.1535	0.0235
u	1.6951	2.0000	-0.3049	0.0929
i	4.8044	3.5000	+1.3044	1.7014
o	2.8793	3.0000	-0.1207	0.0146
p	1.7033	1.5000	+0.2033	0.0413
a	2.0020	2.0000	+0.0020	0.0000
s	5.4265	5.0000	+0.4265	0.1819
d	7.8816	7.0000	+0.8816	0.7772
f	6.3467	6.0000	+0.3467	0.1202
g	3.3474	5.0000	-1.6526	2.7310
h	5.0719	5.0000	+0.0719	0.0052
j	5.9104	7.0000	-1.0896	1.1871
k	9.6117	10.0000	-0.3883	0.1508
l	6.2045	5.0000	+1.2045	1.4509
z	0.0000	0.0000	+0.0000	0.0000
x	2.7795	2.5000	+0.2795	0.0781
c	2.6469	2.5000	+0.1469	0.0216
v	5.2149	5.0000	+0.2149	0.0462
b	1.9843	1.5000	+0.4843	0.2345
n	4.6536	4.5000	+0.1536	0.0236
m	3.3858	3.5000	-0.1142	0.0130
