# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.9572	1.5000	+0.4572	0.2091
w	4.1530	4.0000	+0.1530	0.0234
e	3.3692	3.0000	+0.3692	0.1363
r	3.6747	4.0000	-0.3253	0.1058
t	1.8198	2.0000	-0.1802	0.0325
y	1.9677	1.5000	+0.4677	0.2187
u	1.6951	2.0000	-0.3049	0.0929
i	4.8044	3.5000	+1.3044	1.7014
o	2.8793	3.0000	-0.1207	0.0146
p	1.8418	1.5000	+0.3418	0.1168
a	2.0020	2.0000	+0.0020	0.0000
s	4.5877	5.0000	-0.4123	0.1700
d	5.2505	7.0000	-1.7495	3.0609
f	6.3297	6.0000	+0.3297	0.1087
g	4.6662	5.0000	-0.3338	0.1114
h	4.9724	5.0000	-0.0276	0.0008
j	5.8776	7.0000	-1.1224	1.2599
k	11.2811	10.0000	+1.2811	1.6412
l	5.7108	5.0000	+0.7108	0.5052
z	0.0000	0.0000	+0.0000	0.0000
x	2.9922	2.5000	+0.4922	0.2423
c	2.5419	2.5000	+0.0419	0.0018
v	4.8577	5.0000	-0.1423	0.0202
b	1.9953	1.5000	+0.4953	0.2453
n	4.7864	4.5000	+0.2864	0.0820
m	3.9862	3.5000	+0.4862	0.2364
