# 当量分布统计
# 平均当量: 0.1600
# 变异系数(CV): 1.1880
# 标准差: 0.1901
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
样	1.0650	4769842
女	0.7800	3362646
本	0.7375	2579524
目	0.7333	1365310
车	0.7333	1338066
杀	0.7200	1095880
时	0.7000	8207119
来	0.6950	14837007
思	0.6725	1438567
她	0.6500	7870163
着	0.6450	11165468
吗	0.6325	2028487
此	0.6000	2725965
感	0.6000	2529138
平	0.5750	1439957
飞	0.5575	1593771
再	0.5550	2681503
亲	0.5325	1388321
并	0.5250	1624589
非	0.5167	1219442
#
# 当量最低的20个高频字 (字频>1000000):
世	0.0000	1305454
它	0.0000	1298568
黑	0.0000	1292192
孩	0.0000	1251885
工	0.0000	1242237
云	0.0000	1205872
失	0.0000	1182384
哥	0.0000	1176477
惊	0.0000	1161953
魔	0.0000	1160330
竟	0.0000	1160070
音	0.0000	1100301
拉	0.0000	1096796
且	0.0000	1092816
利	0.0000	1091519
合	0.0000	1085786
倒	0.0000	1085421
影	0.0000	1067165
言	0.0000	1026005
随	0.0000	1016322
