# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.7295	1.0000	+0.7295	0.5322
w	3.3533	4.0000	-0.6467	0.4183
e	3.3463	3.0000	+0.3463	0.1199
r	4.1417	4.0000	+0.1417	0.0201
t	2.2448	1.5000	+0.7448	0.5547
y	1.7153	1.5000	+0.2153	0.0463
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.7303	1.0000	+0.7303	0.5334
a	1.9722	2.0000	-0.0278	0.0008
s	5.8361	5.0000	+0.8361	0.6990
d	5.6348	9.0000	-3.3652	11.3249
f	4.8161	8.0000	-3.1839	10.1373
g	5.2858	5.0000	+0.2858	0.0817
h	4.8267	5.0000	-0.1733	0.0300
j	5.8338	9.0000	-3.1662	10.0246
k	9.8587	10.0000	-0.1413	0.0200
l	5.7934	4.0000	+1.7934	3.2164
z	0.0000	0.0000	+0.0000	0.0000
x	3.4237	2.0000	+1.4237	2.0271
c	3.0364	2.0000	+1.0364	1.0741
v	5.2634	5.0000	+0.2634	0.0694
b	2.1654	1.5000	+0.6654	0.4427
n	4.3929	4.5000	-0.1071	0.0115
m	4.3269	3.5000	+0.8269	0.6837
