# 当量分布统计
# 平均当量: 0.1661
# 变异系数(CV): 1.1807
# 标准差: 0.1961
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
度	1.1500	1082785
女	0.7800	3362646
着	0.7700	11165468
杀	0.7525	1095880
目	0.7333	1365310
车	0.7333	1338066
开	0.7150	4346834
并	0.7025	1624589
时	0.7000	8207119
来	0.6950	14837007
物	0.6875	1225245
样	0.6450	4769842
本	0.6450	2579524
算	0.6425	1263186
她	0.6000	7870163
满	0.6000	1238021
风	0.5625	2175031
思	0.5600	1438567
同	0.5375	2614683
象	0.5250	1041105
#
# 当量最低的20个高频字 (字频>1000000):
始	0.0000	1239671
新	0.0000	1232035
离	0.0000	1222359
云	0.0000	1205872
认	0.0000	1184729
失	0.0000	1182384
哥	0.0000	1176477
士	0.0000	1175727
竟	0.0000	1160070
音	0.0000	1100301
拉	0.0000	1096796
且	0.0000	1092816
合	0.0000	1085786
倒	0.0000	1085421
喜	0.0000	1069981
影	0.0000	1067165
谁	0.0000	1064240
钱	0.0000	1034329
言	0.0000	1026005
随	0.0000	1016322
