# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.3790	1.5000	+0.8790	0.7727
w	3.7649	4.0000	-0.2351	0.0553
e	3.3463	3.0000	+0.3463	0.1199
r	3.4381	4.0000	-0.5619	0.3158
t	2.1360	2.0000	+0.1360	0.0185
y	1.6248	1.5000	+0.1248	0.0156
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.5405	1.5000	+1.0405	1.0827
a	1.9722	2.0000	-0.0278	0.0008
s	4.2228	5.0000	-0.7772	0.6041
d	6.6709	7.0000	-0.3291	0.1083
f	4.4694	6.0000	-1.5306	2.3428
g	5.1657	5.0000	+0.1657	0.0275
h	4.1668	5.0000	-0.8332	0.6943
j	6.6627	7.0000	-0.3373	0.1138
k	10.1542	10.0000	+0.1542	0.0238
l	6.7333	5.0000	+1.7333	3.0042
z	0.0000	0.0000	+0.0000	0.0000
x	3.2452	2.5000	+0.7452	0.5552
c	2.8059	2.5000	+0.3059	0.0936
v	4.1518	5.0000	-0.8482	0.7194
b	2.2505	1.5000	+0.7505	0.5632
n	4.3737	4.5000	-0.1263	0.0160
m	4.4528	3.5000	+0.9528	0.9078
