# 当量分布统计
# 平均当量: 0.1568
# 变异系数(CV): 1.0388
# 标准差: 0.1629
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
国	0.7300	1613990
主	0.7200	1135910
为	0.4800	3850400
正	0.4667	1545520
让	0.4200	1580040
行	0.4000	1452180
大	0.4000	5704500
走	0.4000	1591000
日	0.4000	1024590
头	0.3900	2535770
意	0.3900	1932670
得	0.3800	3785580
死	0.3700	1042680
样	0.3500	2512660
部	0.3500	1038900
后	0.3400	3447490
但	0.3400	1846500
儿	0.3333	1501380
发	0.3300	2079110
候	0.3200	1087790
#
# 当量最低的20个高频字 (字频>1000000):
当	0.0000	1810660
女	0.0000	1771380
气	0.0000	1700120
从	0.0000	1671880
长	0.0000	1633050
间	0.0000	1616130
问	0.0000	1527500
打	0.0000	1518360
法	0.0000	1474190
实	0.0000	1378320
向	0.0000	1354330
第	0.0000	1347940
作	0.0000	1284130
其	0.0000	1273250
啊	0.0000	1246390
白	0.0000	1223300
外	0.0000	1177060
风	0.0000	1145760
二	0.0000	1092400
吗	0.0000	1068570
