# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.5313	1.0000	+0.5313	0.2823
w	3.8722	4.0000	-0.1278	0.0163
e	4.3053	3.0000	+1.3053	1.7038
r	1.9477	4.0000	-2.0523	4.2121
t	1.7162	1.5000	+0.2162	0.0467
y	2.2743	1.5000	+0.7743	0.5996
u	1.7687	2.0000	-0.2313	0.0535
i	6.2136	3.5000	+2.7136	7.3636
o	3.7209	3.0000	+0.7209	0.5196
p	1.6903	1.0000	+0.6903	0.4765
a	4.4219	2.0000	+2.4219	5.8657
s	5.1587	5.0000	+0.1587	0.0252
d	8.7198	9.0000	-0.2802	0.0785
f	8.4803	8.0000	+0.4803	0.2307
g	3.4157	5.0000	-1.5843	2.5099
h	5.7586	5.0000	+0.7586	0.5755
j	8.0789	9.0000	-0.9211	0.8485
k	8.7478	10.0000	-1.2522	1.5680
l	3.2250	4.0000	-0.7750	0.6007
z	0.0000	0.0000	+0.0000	0.0000
x	1.8193	2.0000	-0.1807	0.0327
c	1.7152	2.0000	-0.2848	0.0811
v	4.7739	5.0000	-0.2261	0.0511
b	1.4460	1.5000	-0.0540	0.0029
n	2.5425	4.5000	-1.9575	3.8319
m	2.6560	3.5000	-0.8440	0.7124
