# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.7594	1.0000	+0.7594	0.5768
w	5.2049	4.0000	+1.2049	1.4517
e	3.3463	3.0000	+0.3463	0.1199
r	4.1912	4.0000	+0.1912	0.0366
t	2.0893	1.5000	+0.5893	0.3473
y	1.7710	1.5000	+0.2710	0.0734
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.6340	1.0000	+0.6340	0.4020
a	1.9722	2.0000	-0.0278	0.0008
s	6.3861	5.0000	+1.3861	1.9213
d	4.9976	9.0000	-4.0024	16.0191
f	4.5495	8.0000	-3.4505	11.9057
g	5.2794	5.0000	+0.2794	0.0780
h	4.6962	5.0000	-0.3038	0.0923
j	5.5795	9.0000	-3.4205	11.6998
k	10.4892	10.0000	+0.4892	0.2393
l	5.5558	4.0000	+1.5558	2.4206
z	0.0000	0.0000	+0.0000	0.0000
x	3.1915	2.0000	+1.1915	1.4197
c	2.4893	2.0000	+0.4893	0.2395
v	4.2279	5.0000	-0.7721	0.5961
b	2.2950	1.5000	+0.7950	0.6320
n	4.5117	4.5000	+0.0117	0.0001
m	4.5102	3.5000	+1.0102	1.0206
