# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.4747	1.0000	+1.4747	2.1748
w	4.6080	4.0000	+0.6080	0.3697
e	3.3463	3.0000	+0.3463	0.1199
r	3.6283	4.0000	-0.3717	0.1382
t	1.7266	1.5000	+0.2266	0.0513
y	2.1137	1.5000	+0.6137	0.3766
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.0368	1.0000	+1.0368	1.0749
a	1.9722	2.0000	-0.0278	0.0008
s	6.3597	5.0000	+1.3597	1.8488
d	5.7039	9.0000	-3.2961	10.8644
f	4.5090	8.0000	-3.4910	12.1872
g	5.3009	5.0000	+0.3009	0.0905
h	4.8402	5.0000	-0.1598	0.0256
j	6.7072	9.0000	-2.2928	5.2571
k	9.3107	10.0000	-0.6893	0.4752
l	6.5004	4.0000	+2.5004	6.2522
z	0.0000	0.0000	+0.0000	0.0000
x	2.9524	2.0000	+0.9524	0.9071
c	2.1630	2.0000	+0.1630	0.0266
v	4.0714	5.0000	-0.9286	0.8622
b	2.2871	1.5000	+0.7871	0.6195
n	3.7704	4.5000	-0.7296	0.5323
m	4.3445	3.5000	+0.8445	0.7132
