# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.4328	1.5000	+0.9328	0.8702
w	3.7088	4.0000	-0.2912	0.0848
e	1.4175	1.5000	-0.0825	0.0068
r	3.9447	4.0000	-0.0553	0.0031
t	2.5749	2.0000	+0.5749	0.3306
y	5.2907	1.5000	+3.7907	14.3692
u	0.6120	1.0000	-0.3880	0.1506
i	1.6444	1.5000	+0.1444	0.0209
o	1.0873	1.0000	+0.0873	0.0076
p	2.7214	1.5000	+1.2214	1.4919
a	1.1382	1.0000	+0.1382	0.0191
s	7.9011	5.0000	+2.9011	8.4165
d	7.9465	8.0000	-0.0535	0.0029
f	5.9295	7.0000	-1.0705	1.1459
g	4.1704	5.0000	-0.8296	0.6883
h	5.4437	5.0000	+0.4437	0.1968
j	6.6528	7.0000	-0.3472	0.1205
k	5.3791	9.0000	-3.6209	13.1106
l	5.2897	4.0000	+1.2897	1.6634
z	0.0000	0.0000	+0.0000	0.0000
x	2.9050	3.0000	-0.0950	0.0090
c	3.4035	1.5000	+1.9035	3.6232
v	5.2050	5.0000	+0.2050	0.0420
b	2.5939	1.5000	+1.0939	1.1965
n	5.5035	4.5000	+1.0035	1.0070
m	5.1034	3.5000	+1.6034	2.5708
