# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.0669	1.5000	+0.5669	0.3214
w	4.7040	4.0000	+0.7040	0.4956
e	3.3463	3.0000	+0.3463	0.1199
r	3.3576	4.0000	-0.6424	0.4127
t	2.3039	2.0000	+0.3039	0.0923
y	1.7373	1.5000	+0.2373	0.0563
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.1672	1.5000	+0.6672	0.4452
a	1.9722	2.0000	-0.0278	0.0008
s	6.0923	5.0000	+1.0923	1.1932
d	5.4832	7.0000	-1.5168	2.3007
f	5.7545	6.0000	-0.2455	0.0603
g	4.5310	5.0000	-0.4690	0.2200
h	4.2792	5.0000	-0.7208	0.5195
j	6.9426	7.0000	-0.0574	0.0033
k	10.2662	10.0000	+0.2662	0.0709
l	5.8968	5.0000	+0.8968	0.8042
z	0.0000	0.0000	+0.0000	0.0000
x	2.7717	2.5000	+0.2717	0.0738
c	3.1269	2.5000	+0.6269	0.3930
v	4.2975	5.0000	-0.7025	0.4934
b	1.8776	1.5000	+0.3776	0.1426
n	3.6797	4.5000	-0.8203	0.6729
m	4.0728	3.5000	+0.5728	0.3281
