# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.7216	1.0000	+0.7216	0.5206
w	4.0046	4.0000	+0.0046	0.0000
e	3.3463	3.0000	+0.3463	0.1199
r	2.6649	4.0000	-1.3351	1.7824
t	2.0596	1.5000	+0.5596	0.3131
y	2.1544	1.5000	+0.6544	0.4283
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.0002	1.0000	+1.0002	1.0003
a	1.9722	2.0000	-0.0278	0.0008
s	5.5253	5.0000	+0.5253	0.2759
d	6.7042	9.0000	-2.2958	5.2707
f	5.7427	8.0000	-2.2573	5.0953
g	5.2546	5.0000	+0.2546	0.0648
h	4.2405	5.0000	-0.7595	0.5768
j	6.0686	9.0000	-2.9314	8.5934
k	10.4926	10.0000	+0.4926	0.2427
l	6.1724	4.0000	+2.1724	4.7194
z	0.0000	0.0000	+0.0000	0.0000
x	3.1469	2.0000	+1.1469	1.3153
c	2.9075	2.0000	+0.9075	0.8236
v	4.9056	5.0000	-0.0944	0.0089
b	2.1053	1.5000	+0.6053	0.3664
n	3.8969	4.5000	-0.6031	0.3637
m	3.6405	3.5000	+0.1405	0.0197
