# 当量分布统计
# 平均当量: 0.1630
# 变异系数(CV): 1.2361
# 标准差: 0.2014
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
紧	1.0100	1099517
思	0.9800	1438567
杀	0.9325	1095880
女	0.9133	3362646
车	0.8000	1338066
教	0.7425	1071585
来	0.7375	14837007
目	0.7333	1365310
样	0.7325	4769842
金	0.7100	1291889
时	0.7000	8207119
着	0.6950	11165468
本	0.6950	2579524
关	0.6900	1675433
受	0.6750	1388441
通	0.6250	1186869
飞	0.5875	1593771
并	0.5875	1624589
她	0.5500	7870163
深	0.5500	1060800
#
# 当量最低的20个高频字 (字频>1000000):
算	0.0000	1263186
工	0.0000	1242237
满	0.0000	1238021
虽	0.0000	1211358
云	0.0000	1205872
认	0.0000	1184729
失	0.0000	1182384
哥	0.0000	1176477
士	0.0000	1175727
竟	0.0000	1160070
音	0.0000	1100301
拉	0.0000	1096796
且	0.0000	1092816
合	0.0000	1085786
倒	0.0000	1085421
喜	0.0000	1069981
影	0.0000	1067165
容	0.0000	1038318
言	0.0000	1026005
随	0.0000	1016322
