# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.0049	1.0000	+1.0049	1.0098
w	4.7994	4.0000	+0.7994	0.6391
e	3.3463	3.0000	+0.3463	0.1199
r	3.2661	4.0000	-0.7339	0.5386
t	1.8118	1.5000	+0.3118	0.0972
y	2.0792	1.5000	+0.5792	0.3354
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.9155	1.0000	+0.9155	0.8381
a	1.9722	2.0000	-0.0278	0.0008
s	6.1020	5.0000	+1.1020	1.2144
d	7.0206	9.0000	-1.9794	3.9181
f	5.1832	8.0000	-2.8168	7.9342
g	5.4451	5.0000	+0.4451	0.1981
h	3.4033	5.0000	-1.5967	2.5495
j	7.8760	9.0000	-1.1240	1.2633
k	9.6748	10.0000	-0.3252	0.1057
l	5.2752	4.0000	+1.2752	1.6261
z	0.0000	0.0000	+0.0000	0.0000
x	2.8515	2.0000	+0.8515	0.7251
c	2.6444	2.0000	+0.6444	0.4152
v	4.3306	5.0000	-0.6694	0.4481
b	2.1372	1.5000	+0.6372	0.4061
n	2.9874	4.5000	-1.5126	2.2880
m	4.6007	3.5000	+1.1007	1.2115
