# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.1579	1.5000	+0.6579	0.4328
w	4.6025	4.0000	+0.6025	0.3630
e	3.3463	3.0000	+0.3463	0.1199
r	3.1463	4.0000	-0.8537	0.7288
t	2.0875	2.0000	+0.0875	0.0077
y	2.5492	1.5000	+1.0492	1.1008
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.5364	1.5000	+1.0364	1.0741
a	1.9722	2.0000	-0.0278	0.0008
s	4.6899	5.0000	-0.3101	0.0961
d	5.6123	7.0000	-1.3877	1.9258
f	6.1554	6.0000	+0.1554	0.0241
g	4.9010	5.0000	-0.0990	0.0098
h	5.7846	5.0000	+0.7846	0.6156
j	5.5603	7.0000	-1.4397	2.0728
k	8.7748	10.0000	-1.2252	1.5011
l	6.4908	5.0000	+1.4908	2.2225
z	0.0000	0.0000	+0.0000	0.0000
x	3.4231	2.5000	+0.9231	0.8521
c	2.5216	2.5000	+0.0216	0.0005
v	3.9815	5.0000	-1.0185	1.0373
b	2.1285	1.5000	+0.6285	0.3950
n	3.9845	4.5000	-0.5155	0.2657
m	4.3208	3.5000	+0.8208	0.6738
