# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.8766	1.0000	+0.8766	0.7685
w	4.9604	4.0000	+0.9604	0.9223
e	3.3463	3.0000	+0.3463	0.1199
r	4.0023	4.0000	+0.0023	0.0000
t	1.6167	1.5000	+0.1167	0.0136
y	1.9458	1.5000	+0.4458	0.1987
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.9644	1.0000	+0.9644	0.9301
a	1.9722	2.0000	-0.0278	0.0008
s	6.1358	5.0000	+1.1358	1.2901
d	4.6563	9.0000	-4.3437	18.8679
f	5.0246	8.0000	-2.9754	8.8529
g	4.9085	5.0000	-0.0915	0.0084
h	4.8049	5.0000	-0.1951	0.0381
j	5.9811	9.0000	-3.0189	9.1136
k	10.3403	10.0000	+0.3403	0.1158
l	6.0183	4.0000	+2.0183	4.0737
z	0.0000	0.0000	+0.0000	0.0000
x	2.6929	2.0000	+0.6929	0.4801
c	2.4786	2.0000	+0.4786	0.2291
v	5.3643	5.0000	+0.3643	0.1327
b	2.2171	1.5000	+0.7171	0.5142
n	4.1507	4.5000	-0.3493	0.1220
m	4.2691	3.5000	+0.7691	0.5915
