# 当量分布统计
# 平均当量: 0.1305
# 变异系数(CV): 1.3054
# 标准差: 0.1704
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
时	0.6750	4323350
年	0.5333	1825530
色	0.5250	1047510
全	0.4700	1098450
吗	0.4125	1068570
白	0.4000	1223300
少	0.3900	1022010
所	0.3500	1861730
死	0.3500	1042680
回	0.3375	1900800
事	0.3325	2491320
得	0.3000	3785580
于	0.3000	1904310
此	0.3000	1435990
直	0.3000	1002140
道	0.2875	5597330
怎	0.2875	1327650
作	0.2875	1284130
张	0.2875	1041560
着	0.2750	5881750
#
# 当量最低的20个高频字 (字频>1000000):
正	0.0000	1545520
打	0.0000	1518360
明	0.0000	1508960
儿	0.0000	1501380
三	0.0000	1447490
实	0.0000	1378320
十	0.0000	1352340
其	0.0000	1273250
却	0.0000	1252650
口	0.0000	1251120
因	0.0000	1229830
做	0.0000	1187890
门	0.0000	1176540
主	0.0000	1135910
住	0.0000	1114070
候	0.0000	1087790
别	0.0000	1053960
日	0.0000	1024590
理	0.0000	1002950
重	0.0000	1001310
