# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.7933	1.0000	+0.7933	0.6294
w	4.5529	4.0000	+0.5529	0.3057
e	3.3463	3.0000	+0.3463	0.1199
r	4.9622	4.0000	+0.9622	0.9259
t	1.6635	1.5000	+0.1635	0.0267
y	1.8208	1.5000	+0.3208	0.1029
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.0067	1.0000	+1.0067	1.0135
a	1.9722	2.0000	-0.0278	0.0008
s	5.3236	5.0000	+0.3236	0.1047
d	5.1779	9.0000	-3.8221	14.6081
f	5.1404	8.0000	-2.8596	8.1771
g	5.5046	5.0000	+0.5046	0.2546
h	4.8298	5.0000	-0.1702	0.0290
j	5.8401	9.0000	-3.1599	9.9849
k	10.0514	10.0000	+0.0514	0.0026
l	4.8147	4.0000	+0.8147	0.6637
z	0.0000	0.0000	+0.0000	0.0000
x	2.9711	2.0000	+0.9711	0.9431
c	2.5291	2.0000	+0.5291	0.2800
v	5.0383	5.0000	+0.0383	0.0015
b	2.2239	1.5000	+0.7239	0.5240
n	4.2937	4.5000	-0.2063	0.0425
m	4.8707	3.5000	+1.3707	1.8789
