# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.9652	1.0000	+0.9652	0.9316
w	4.9774	4.0000	+0.9774	0.9552
e	3.3463	3.0000	+0.3463	0.1199
r	2.9881	4.0000	-1.0119	1.0240
t	1.7778	1.5000	+0.2778	0.0772
y	2.1939	1.5000	+0.6939	0.4815
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.1510	1.0000	+1.1510	1.3248
a	1.9722	2.0000	-0.0278	0.0008
s	6.4740	5.0000	+1.4740	2.1727
d	5.7623	9.0000	-3.2377	10.4825
f	4.4841	8.0000	-3.5159	12.3613
g	5.0418	5.0000	+0.0418	0.0017
h	4.2375	5.0000	-0.7625	0.5815
j	7.2698	9.0000	-1.7302	2.9935
k	10.1940	10.0000	+0.1940	0.0376
l	6.0139	4.0000	+2.0139	4.0558
z	0.0000	0.0000	+0.0000	0.0000
x	2.8094	2.0000	+0.8094	0.6552
c	2.1674	2.0000	+0.1674	0.0280
v	5.1663	5.0000	+0.1663	0.0276
b	2.3263	1.5000	+0.8263	0.6827
n	3.0716	4.5000	-1.4284	2.0402
m	4.3370	3.5000	+0.8370	0.7006
