# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.0806	1.0000	+1.0806	1.1677
w	4.9672	4.0000	+0.9672	0.9356
e	3.3463	3.0000	+0.3463	0.1199
r	4.0771	4.0000	+0.0771	0.0059
t	1.7581	1.5000	+0.2581	0.0666
y	1.8602	1.5000	+0.3602	0.1297
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.8324	1.0000	+0.8324	0.6929
a	1.9722	2.0000	-0.0278	0.0008
s	5.5516	5.0000	+0.5516	0.3043
d	5.3764	9.0000	-3.6236	13.1304
f	5.3003	8.0000	-2.6997	7.2882
g	5.2997	5.0000	+0.2997	0.0898
h	5.1525	5.0000	+0.1525	0.0233
j	5.4277	9.0000	-3.5723	12.7610
k	10.0792	10.0000	+0.0792	0.0063
l	4.9888	4.0000	+0.9888	0.9777
z	0.0000	0.0000	+0.0000	0.0000
x	2.6523	2.0000	+0.6523	0.4255
c	2.7998	2.0000	+0.7998	0.6396
v	3.9153	5.0000	-1.0847	1.1765
b	2.5587	1.5000	+1.0587	1.1209
n	5.1757	4.5000	+0.6757	0.4566
m	4.5551	3.5000	+1.0551	1.1133
