# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.8556	1.5000	+0.3556	0.1264
w	3.8504	4.0000	-0.1496	0.0224
e	3.0939	3.0000	+0.0939	0.0088
r	4.1892	4.0000	+0.1892	0.0358
t	2.2129	2.0000	+0.2129	0.0453
y	1.6513	1.5000	+0.1513	0.0229
u	1.9438	2.0000	-0.0562	0.0032
i	3.9115	3.0000	+0.9115	0.8309
o	3.7496	2.5000	+1.2496	1.5614
p	2.1230	1.5000	+0.6230	0.3882
a	2.2123	1.0000	+1.2123	1.4697
s	5.4742	5.0000	+0.4742	0.2248
d	4.5272	8.0000	-3.4728	12.0601
f	6.6421	7.0000	-0.3579	0.1281
g	4.7910	5.0000	-0.2090	0.0437
h	5.4801	5.0000	+0.4801	0.2305
j	4.4310	7.0000	-2.5690	6.5996
k	9.6320	9.0000	+0.6320	0.3995
l	5.5378	4.0000	+1.5378	2.3647
z	0.0000	0.0000	+0.0000	0.0000
x	3.5097	3.0000	+0.5097	0.2598
c	2.5341	1.5000	+1.0341	1.0693
v	4.4256	5.0000	-0.5744	0.3300
b	2.3444	1.5000	+0.8444	0.7131
n	5.3139	4.5000	+0.8139	0.6625
m	4.5634	3.5000	+1.0634	1.1307
