# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.9780	1.5000	+0.4780	0.2285
w	4.3929	4.0000	+0.3929	0.1543
e	3.3463	3.0000	+0.3463	0.1199
r	3.9317	4.0000	-0.0683	0.0047
t	1.6963	2.0000	-0.3037	0.0922
y	1.8040	1.5000	+0.3040	0.0924
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.9886	1.5000	+0.4886	0.2387
a	1.9722	2.0000	-0.0278	0.0008
s	4.4933	5.0000	-0.5067	0.2567
d	6.7192	7.0000	-0.2808	0.0788
f	4.2862	6.0000	-1.7138	2.9373
g	4.7390	5.0000	-0.2610	0.0681
h	5.1875	5.0000	+0.1875	0.0352
j	6.5286	7.0000	-0.4714	0.2222
k	10.5856	10.0000	+0.5856	0.3429
l	5.7723	5.0000	+0.7723	0.5964
z	0.0000	0.0000	+0.0000	0.0000
x	3.3334	2.5000	+0.8334	0.6945
c	2.8214	2.5000	+0.3214	0.1033
v	4.8520	5.0000	-0.1480	0.0219
b	2.4543	1.5000	+0.9543	0.9107
n	3.6375	4.5000	-0.8625	0.7438
m	4.2072	3.5000	+0.7072	0.5002
