# 当量分布统计
# 平均当量: 0.1484
# 变异系数(CV): 1.1470
# 标准差: 0.1702
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
并	1.3000	1624589
它	0.9000	1298568
再	0.8300	2681503
目	0.7333	1365310
美	0.7200	1692264
表	0.7100	1303318
喜	0.7000	1069981
第	0.6350	2558818
心	0.6333	6555833
思	0.5600	1438567
开	0.5375	4346834
万	0.5375	1201402
满	0.5250	1238021
名	0.5200	1804559
黑	0.5200	1292192
指	0.5150	1099010
连	0.5025	1453048
口	0.4833	2375024
处	0.4750	1626691
原	0.4700	1473346
#
# 当量最低的20个高频字 (字频>1000000):
世	0.0000	1305454
立	0.0000	1293824
孩	0.0000	1251885
离	0.0000	1222359
非	0.0000	1219442
云	0.0000	1205872
失	0.0000	1182384
火	0.0000	1180390
哥	0.0000	1176477
士	0.0000	1175727
魔	0.0000	1160330
早	0.0000	1138903
斯	0.0000	1105720
音	0.0000	1100301
记	0.0000	1094800
步	0.0000	1077549
教	0.0000	1071585
越	0.0000	1069176
影	0.0000	1067165
象	0.0000	1041105
