# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.1180	1.0000	+1.1180	1.2500
w	2.7567	4.0000	-1.2433	1.5459
e	4.7147	3.0000	+1.7147	2.9403
r	1.7085	4.0000	-2.2915	5.2509
t	1.9234	1.5000	+0.4234	0.1793
y	2.2301	1.5000	+0.7301	0.5330
u	3.1871	2.0000	+1.1871	1.4092
i	6.9571	3.5000	+3.4571	11.9512
o	2.9593	3.0000	-0.0407	0.0017
p	2.1972	1.0000	+1.1972	1.4333
a	2.7167	2.0000	+0.7167	0.5137
s	4.1635	5.0000	-0.8365	0.6997
d	8.2715	9.0000	-0.7285	0.5307
f	8.8037	8.0000	+0.8037	0.6460
g	4.2954	5.0000	-0.7046	0.4964
h	5.7390	5.0000	+0.7390	0.5462
j	8.5888	9.0000	-0.4112	0.1691
k	7.2098	10.0000	-2.7902	7.7851
l	5.0511	4.0000	+1.0511	1.1047
z	0.0000	0.0000	+0.0000	0.0000
x	1.6628	2.0000	-0.3372	0.1137
c	1.7814	2.0000	-0.2186	0.0478
v	2.3481	5.0000	-2.6519	7.0325
b	1.2761	1.5000	-0.2239	0.0501
n	4.3284	4.5000	-0.1716	0.0294
m	3.0114	3.5000	-0.4886	0.2388
