# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.0682	1.0000	+1.0682	1.1410
w	3.3953	4.0000	-0.6047	0.3657
e	6.8561	3.0000	+3.8561	14.8694
r	3.4947	4.0000	-0.5053	0.2553
t	1.7576	1.5000	+0.2576	0.0664
y	2.1514	1.5000	+0.6514	0.4243
u	2.3977	2.0000	+0.3977	0.1582
i	4.7563	3.5000	+1.2563	1.5783
o	3.8296	3.0000	+0.8296	0.6883
p	1.7315	1.0000	+0.7315	0.5352
a	3.8392	2.0000	+1.8392	3.3828
s	4.7105	5.0000	-0.2895	0.0838
d	8.7508	9.0000	-0.2492	0.0621
f	7.1961	8.0000	-0.8039	0.6463
g	4.0054	5.0000	-0.9946	0.9891
h	3.3718	5.0000	-1.6282	2.6511
j	9.0627	9.0000	+0.0627	0.0039
k	7.9237	10.0000	-2.0763	4.3109
l	5.3422	4.0000	+1.3422	1.8015
z	0.0000	0.0000	+0.0000	0.0000
x	1.7583	2.0000	-0.2417	0.0584
c	2.3534	2.0000	+0.3534	0.1249
v	1.8309	5.0000	-3.1691	10.0435
b	1.8912	1.5000	+0.3912	0.1531
n	3.3439	4.5000	-1.1561	1.3367
m	2.1815	3.5000	-1.3185	1.7385
