# 当量分布统计
# 平均当量: 0.1673
# 变异系数(CV): 1.1498
# 标准差: 0.1923
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
女	0.9467	3362646
本	0.9450	2579524
队	0.9000	1255383
杀	0.7675	1095880
目	0.7333	1365310
车	0.7333	1338066
来	0.7325	14837007
机	0.7150	1672100
样	0.7125	4769842
记	0.7075	1094800
时	0.7000	8207119
跟	0.6975	1547565
流	0.6775	1114438
并	0.6775	1624589
处	0.6525	1626691
着	0.6450	11165468
关	0.6000	1675433
紧	0.5625	1099517
思	0.5600	1438567
她	0.5500	7870163
#
# 当量最低的20个高频字 (字频>1000000):
世	0.0000	1305454
它	0.0000	1298568
花	0.0000	1277183
算	0.0000	1263186
孩	0.0000	1251885
工	0.0000	1242237
失	0.0000	1182384
士	0.0000	1175727
竟	0.0000	1160070
音	0.0000	1100301
且	0.0000	1092816
利	0.0000	1091519
合	0.0000	1085786
影	0.0000	1067165
冷	0.0000	1063226
传	0.0000	1034638
钱	0.0000	1034329
提	0.0000	1026285
言	0.0000	1026005
随	0.0000	1016322
