# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.1195	1.5000	+0.6195	0.3838
w	4.9752	4.0000	+0.9752	0.9510
e	1.4175	1.5000	-0.0825	0.0068
r	3.4743	4.0000	-0.5257	0.2763
t	2.1201	2.0000	+0.1201	0.0144
y	4.9623	1.5000	+3.4623	11.9872
u	0.6120	1.0000	-0.3880	0.1506
i	1.6444	1.5000	+0.1444	0.0209
o	1.0873	1.0000	+0.0873	0.0076
p	2.7334	1.5000	+1.2334	1.5212
a	1.1382	1.0000	+0.1382	0.0191
s	7.5834	5.0000	+2.5834	6.6742
d	7.5485	8.0000	-0.4515	0.2038
f	5.3578	7.0000	-1.6422	2.6968
g	3.6696	5.0000	-1.3304	1.7701
h	5.5497	5.0000	+0.5497	0.3022
j	5.7470	7.0000	-1.2530	1.5699
k	8.7248	9.0000	-0.2752	0.0757
l	5.8072	4.0000	+1.8072	3.2660
z	0.0000	0.0000	+0.0000	0.0000
x	3.5618	3.0000	+0.5618	0.3156
c	3.7327	1.5000	+2.2327	4.9850
v	4.8792	5.0000	-0.1208	0.0146
b	2.4340	1.5000	+0.9340	0.8724
n	4.3293	4.5000	-0.1707	0.0291
m	4.7906	3.5000	+1.2906	1.6656
